"","text","text_tag","author","label"
"1780","top percent recent year earn percent new incom","incom","miguel cronchey","0"
"4662","sinc america put peopl back work europ japan advanc economi combin","economi","allyson sangster","0"
"8451"," potenti democrat oppon mari burk implement polici jim doyl polici last term saw state lose job","job","cortney bengochea","0"
"504"," state rep kristi thibaut acorn lobbyist","candid biographi","oliy edgler","1"
"3560","countri debt ceil","deficit economi pundit abc news week","krissy struthers","1"
"824"," ocean spray move bordentown process facil pennsylvania larg cost associ region greenhous gas initi","cap trade climat chang economi","jaquenetta mangeon","0"
"640"," got union agre million reduct salari health benefit serv dane counti execut wisconsin","counti budget counti govern labor union","kay grimsdale","1"
"3114","heard talk curb use fossil fuel near everi state union address sinc oil embargo","energi","petr bumby","1"
"666","hous repres fail extend middl class tax cut middl class rhode island famili  see feder incom tax increas","economi famili feder budget incom tax","nora gianilli","0"
"1428","stimulus creat one privat sector job","economi stimulus","augustina featherstonhaugh","0"
"9268","snitker virtual ignor major media","elect","fredericka newart","1"
"4422","averag famili spend rough year energi cost like energi tax just last seven year three time typic american famili receiv bush tax cut","energi","emilia comiam","0"
"9145","idaho republican led state nation chose partner presid obama creat state base marketplac afford care act","health care","byrle aimeric","0"
"545"," first famili go four year colleg","educ","abraham leverson","0"
"8183"," abil veto give driver licens certain immigr known dreamer havechang noth","correct updat immigr","rolph perigo","0"
"3336","five guantanamo detaine swap bow bergdahl back battlefield","afghanistan foreign polici militari terror","forster room","0"
"7654","current delay six month process dna evid state run crime lab","crime govern effici","josiah conechie","0"
"1953","beer drink allow illinoi state park","state budget","olivette harragin","0"
"7621"," book rick perri said social secur unconstitut","legal issu social secur","honoria leban","1"
"2768","florida issu million conceal carri permit past year revok","gun","aurelia bischop","0"
"7017","billion next five year  taken public school put voucher","children educ poverti","nanni cheltnam","0"
"9029"," sign post project fund feder stimulus act cost million dollar","deficit feder budget stimulus","carleton jerger","0"
"191","republican percent muslim vote","religion","deloris carslake","1"
"1596"," hillari clinton want let peopl just pour million peopl pour noth think  happen tripl size countri one week","homeland secur immigr","daisie andryushin","0"
"6207","percent american peopl havent gotten pay rais sinc crash","job","ginelle meineken","1"
"10218","proudest accomplish tenur leav state billion surplus largest wed ever get spend control balanc budget","state budget state financ tax","giselle de la yglesias","1"
"8332","standard drunken drive mean glass wine dinner make person drunk","alcohol crime crimin justic public safeti transport","tootsie sherville","1"
"6906","slim jim just recent cost cent now cost","agricultur economi","petr bumby","0"
"8963","expand medicaid creat k job","health care medicaid poverti","trina branchett","0"
"180"," judg get better benefit lower cost everybodi els state","pension","kristoffer harrema","1"
"5377","minimum wage real term right now harri truman offic","economi histori worker","davon ruckert","0"
"2107"," john barrow vote obama percent time","vote record","milli sisley","0"
"5964","histori depart univers texa regist voter one republican","educ","zita hurley","0"
"7763"," first month presid unit state doubl world lead million year commit fight global aid","feder budget foreign polici health care","jayne nono","1"
"5198","labor particip rate time low","economi job","rozanne huckle","0"
"3651"," state new collect bargain law effect elimin polic union abil negoti","public safeti union","liana rigmond","1"
"3068","first time year depend foreign oil percent","energi ethic job accomplish messag machin","tyrone dean","0"
"7725","past decad k fund grown six time faster rate enrol","educ state budget","bonita berzen","0"
"1725","repeat request addit secur benghazi routin deni hillari clinton state depart","foreign polici militari terror","gayla mityashev","1"
"4983","longest judici vacanc histori unit state","candid biographi histori job accomplish legal issu suprem court","ashlee zimmermeister","1"
"8093"," one three texa children drop high school","children educ","cassy boggon","0"
"415","group receiv foreign money spend huge sum influenc american elect","campaign financ corpor abc news week","misti soar","0"
"3807","public privat split pay new milwauke buck arena much better term portion public financ arena project done around countri","economi recreat sport state budget tax","millard breissan","1"
"6955"," never call teacher thug said noth great thing fight curb union","educ labor state budget","gwendolin dolder","0"
"628","chris hani baragwanath south africa world third biggest hospit","health care public health","gabie bodker","0"
"1713","first state budget came republican leadership slash fund plan parenthood result reduct hour elimin day elimin access women citi state","abort health care women","edouard hundall","1"
"3236","massachusett pass mandatori health insur law mortal rate went save live","health care medicaid","kalil kitchener","1"
"1939","texa law  repatri billion gold bullion feder reserv new york texa","state budget state financ wealth","lorine mumford","0"
"5917","job lost allen boyd vote health care bill","educ elect health care messag machin","letti angric","0"
"3607","jason carter plan increas spend billion","educ medicaid state budget","ennis free","0"
"6675","protect social secur benefit chang retir age","social secur","dory cluse","0"
"9458"," e verifi place florida terrorist live might save live american","immigr terror","austine banbridge","0"
"9978","year weve unemploy higher nation averag oregon","economi job","wilie pentelo","1"
"1676","truth plan parenthood provid mammogram plan parenthood refer women mammographi provid serv middlewoman ","health care","kaleb gonnel","1"
"8101","john mccain consist pattern duck import environment vote","environ","otho ainsley","0"
"7913","time last year state unemploy rate exceed us averag mari burk commerc secretari","candid biographi economi job accomplish job labor state budget","andy piche","1"
"5142","rutger univers kean univers montclair state univers new jersey citi univers stockton colleg rowan univers william paterson common graduat less percent student within four year","educ","helga cogar","1"
"8444","unit state th nation territori equal pay","job women","raeann bettanay","0"
"1663"," warren buffett public said secretari pay higher tax rate","tax","sherlocke millsap","1"
"9483"," giant african land snail carri human mening","agricultur anim public health","warren dockree","0"
"8237","took offic littl reserv","citi govern","holt southern","0"
"4465","qatari dont realli work","human right sport worker","rossy reynoollds","0"
"3775","reconcili use tax cut rich twice bush","feder budget legal issu tax","ruthie red","1"
"5208","rank ethiopia im told term export per capita well develop countri trade well china south korea","economi foreign polici trade","gaynor clyburn","0"
"3791","far children die last year drown bathtub kill accident gun","gun","katherine franseco","0"
"844","histori tell us job growth alway lag behind econom growth","economi","joshua mccotter","1"
"3538","south florida weve nine inch sea level rise sinc s","environ","elysee yankishin","1"
"3899"," presid barack obama built trillion debt","debt deficit feder budget","keri leverson","0"
"7388","obamacar premium doubl tripl wisconsin","health care","theodor logan","1"
"10172","near illeg immigr crimin record order deport countri tonight roam free threaten peac citizen","immigr","chauncey dybald","1"
"4015","iranian woman show much hair public risk beaten kill","foreign polici","barri beilby","0"
"1811","folk washington alreadi forc buy govern health care","health care","herbie mctrustram","0"
"3668","support ted cruz","candid biographi","filbert dach","0"
"5725","hawaii histori throw incumb offic","elect abc news week","frannie headly","1"
"1910","barack obama plan govern spend trillion","feder budget","doyle eccott","0"
"1626"," ask tax increas run citi govern","educ tax","lana neate","1"
"8367","peopl massachusett like state health care plan margin","health care poll state","tally dibling","1"
"6928"," michel bachmann said chines built great wall year ago dont see illeg mexican china","immigr","abraham leverson","0"
"1985","nine day deer hunt contribut billion revenu state wisconsin","economi gun sport","davin larvor","1"
"4848","one everi three student current today readi colleg go","educ","raeann scarbarrow","0"
"4838","auditor citi provid lock access citi financ","citi budget citi govern debt deficit economi job accomplish legal issu transpar","aveline traylen","0"
"8350","english nation languag becom offici mean place like new york citi print ballot languag","immigr","pincas stapley","0"
"1808","econom sanction now iran suffer percent inflat percent unemploy","economi foreign polici pundit","constantine bunten","1"
"4426","increas fuel effici standard mile gallon import zero oil middl east","energi","clarine ollerhead","0"
"6275","fact voter fraud rampant","crime elect","noak hargie","0"
"3361"," pat toomey visit joe sestak veteran came home vote everi veteran appropri bill","veteran","hedvige costerd","0"
"1122","year anybodi ever seen donald trump tax return show didnt pay feder incom tax","candid biographi histori incom campaign advertis tax wealth","melessa limpertz","0"
"5329"," georgia rank near bottom per capita transport spend","state budget transport","josiah conechie","1"
"3956"," percent idea charter school student come low incom famili percent graduat go colleg","children educ","dare ruddiforth","1"
"7167","provid econom develop partnership cicillin chair loan taxpay fund one campaign worker worker never paid back loan","citi govern corpor correct updat legal issu","aurelia bischop","1"
"8120","mitt romney chose paul ryan vice presidenti run mate end romney chanc win","candid biographi elect medicar social secur","morse tinker","0"
"4550","twenti four state voter id compar restrict barack obama elect two","civil right elect histori human right legal issu","roddy cordey","0"
"8679"," util rate plan estim percent residenti household  see decreas water wastewat bill","citi budget water","barbabra collingdon","1"
"7428","bill also provid full feder fund abort","abort health care","elinore kerrod","0"
"6586","presid barack obama want take peopl syria","immigr terror","bee hick","0"
"8792","peopl without health care sinc georg bush took offic children poverti sinc georg bush took offic","health care","jeanelle thalmann","1"
"6068","ed gillespi paid frontman coalit made individu mandat centerpiec health reform plan","health care messag machin","kay grimsdale","0"
"4182"," scott walker enact biggest cut educ state histori","educ state budget state financ","drake sharer","1"
"7256","spend half trillion dollar year tax prepar","tax","rubina christian","0"
"2205"," conni mack iv co sponsor bill take third social secur trust fund give individu account senior citizen invest stock market","social secur","haily collecott","0"
"9690","texa democrat hispan elect offici republican parti","candid biographi divers elect histori","tamma priestman","1"
"3762","social secur advoc s way get peopl quit work thought confin perman scarciti job countri","economi histori poverti social secur worker","lothario de giorgi","0"
"2638","part legisl fight abort right mike coffman co sponsor bill redefin rape","abort correct updat crime crimin justic women","drud sharpus","1"
"5523","take credit rein state spend governor","job accomplish state budget","stacy clears","0"
"6724","demand public transport reach record level wisconsin","state budget transport","ginevra warre","0"
"9464","state countri can still get fire just gay employ think gay","gay lesbian legal issu state worker","nada monks","0"
"2287","mack penni plan feder budget balanc budget continu gain support","deficit feder budget","edgar cordelle","0"
"10057","sinc sept american kill gunfir home","gun pundit","reidar ninnoli","1"
"2580"," yet get respons barack obama august letter make border secur request","immigr","burgess tromans","0"
"5882","ive creat job","job accomplish job","betteann adney","0"
"754"," richard burr one three senat vote ban insid trade member congress call vote brave","congress congression rule ethic legal issu vote record","torin dowles","1"
"1254","ken block support obamacar","economi health care messag machin","ericka la vigne","0"
"10076","dalla african american hispan student pass ap exam higher rate place america","educ","emlynne chattelaine","0"
"9815"," russ feingold vote give social secur benefit illeg immigr","immigr messag machin","wilhelmina rubi","0"
"657","accus presid barack obama make contradictori claim effort kill osama bin laden","homeland secur militari terror","crawford precious","0"
"535","peopl hopeless sixti percent popul percent popul want live somewher els time left percent want stay","job accomplish","dallas sellman","0"
"7532"," conni mack fail pay child support","candid biographi children famili","gauthier schistl","0"
"8487","just crazi govern  make illeg use old incandesc bulb","energi environ","maribelle linstead","0"
"4522","regard iraq war one said dont go dont your go destabil middl east","debat iraq","saundra baskeyfield","0"
"374","shes vote tax increas hurt middl class small busi","tax","helga cogar","0"
"4250"," mark begich taken campaign cash koch dan sullivan hasnt","campaign financ","ursala ettridge","0"
"3159"," cut gov rick perri administr left teacher without job","educ state budget","olav scurfield","0"
"3089","accord estim agreement panama result almost florida job thefirst year job afterf year","job trade","johannes burry","1"
"3488","refus balanc budget back children","educ","gracie shefton","0"
"2879","whether wrote provis allow aig dole bonus","economi","judye meedendorpe","0"
"7779","obamacar caus million peopl lose current coverag","health care messag machin","margot stoaks","0"
"5373","experienc worst econom recoveri america ever","economi","krisha macfaul","0"
"8647","governor switch posit offshor oil drill","energi environ oil spill","alvie fishleigh","0"
"7100","weve got year studi now show good preschool start your less like public dole your less like prison","children crime educ welfar","quinn wilsone","1"
"2749","iran defens budget billion defens budget closer billion","foreign polici nuclear","wilbur alleburton","1"
"5039"," anthropolog stem scienc technolog engin math field","educ scienc","morey varndell","0"
"1603","texa last th spend mental health care","health care state budget","davin larvor","1"
"9602"," donald trump bankrupt four separ busi","bankruptci candid biographi gambl","milena oakton","1"
"1012"," us rep john barrow d ga celebr gun ownership even face school shoot","gun","baxy pannett","0"
"2568","five citizen kill last week border secur problem","immigr","harmony wittrington","0"
"9133","america never made gut intellig servic bill clinton think former cia director georg tenet word bill clinton gut american intellig","terror","guglielmo barr","0"
"10044","buffett rule  bring less billion per year enough pay one week interest nation debt","deficit feder budget tax","roslyn gregori","1"
"4409","feder law requir resid particip us govern american communiti survey","census economi hous popul","florina mcinteer","1"
"3950","total ad near privat sector job new jersey sinc took offic januari","economi job","valry gregoriou","1"
"9966"," mitt romney million cayman island tax haven","messag machin tax","alla delafoy","1"
"8911","milwauke polic chief can fire offic basic caus","citi govern state budget","jared hutson","0"
"3554"," hillari clinton spent day hospit appear wear glass peopl traumat brain injuri","elect","jarib crippes","0"
"6487","minnesota well elect day registr prove fraudul","elect legal issu state","tiffi marquand","0"
"7734","total state payrol gone total amount number worker state gone like fact bulk just retir","govern effici state budget state financ","saudra ickovicz","0"
"6913","everi billion dollar spend highway construct result job fact averag american sit traffic hour year","transport","shay krier","0"
"7182","senat health care bill leav million peopl without insur coverag","health care","norine samber","1"
"316","report gop insist chang social secur part fiscalcliff fals btw chang support barackobama","feder budget social secur","brandtr reddoch","0"
"9762","borrow cent everi dollar spend","feder budget abc news week","odelle lamperd","1"
"1045","mari burk record fewer job","economi job accomplish job","salomo aspel","0"
"8995","sinc took offic wisconsin rank th nation total busi establish growth compar th year mari burk commerc secretari","economi job accomplish small busi","nerita wessell","1"
"9143"," thom tilli refus  combat isi","militari terror","halsy stroobant","1"
"2330"," austin lowest properti tax rate far five major citi texa","citi budget citi govern hous tax","sean giacobelli","0"
"9698","secretari state ralph molli wrong take credit small busi program","candid biographi small busi","tracie begg","0"
"3693","accord book revel anti christ  man s muslim descent obama","obama birth certif religion","skye ebrall","0"
"147","barack obama never even work busi","candid biographi","shari cromar","0"
"6221"," wisconsin state sen randi hopper r fond du lac alreadi recal","labor state budget","burnaby butting","0"
"8733","support gay marriag","marriag","durante lapthorne","0"
"7518","﻿﻿sinc mayor kennedi obrien took offic sayrevill issu build permit now obrien hold secret meet big develop","elect","andreana sympson","0"
"1608","feder law jare loughner abl buy gun identifi mental ill","gun","deva whitelock","1"
"5831"," your wrong respond assert stop frisk rule unconstitut new york","crime crimin justic suprem court","emilia comiam","0"
"9651","studi rank florida govern corrupt gov rick scott","ethic","rodina musslewhite","0"
"9107","got letter peopl said want money back never gave penni","campaign financ","quinn wilsone","1"
"7031"," presid obama said small busi succeed govern","govern regul infrastructur small busi","josephina huntall","0"
"9129","gun industri isth busi america wholli protect kind liabil","gun legal issu","mahmud pietrzyk","0"
"6036","bill clinton peac dividend cut militari percent","militari","gabriella kellett","0"
"1204","jerseycomeback keep roll thank govchristi nj now lowest corrupt risk state","ethic","danella abad","0"
"7418"," chuck hagel oppos sanction iran","foreign polici","fredericka newart","0"
"9377","unit state largest provid humanitarian assist displac person refuge","foreign polici terror","dex bedwell","1"
"2942","austin mayor candid steve adler admit law firm work koch industri near decad","candid biographi ethic legal issu","gustie prendeguest","1"
"6694"," presid barack obama gone texa mexico border","children foreign polici govern regul immigr","deloris carslake","0"
"784","export use feder loophol decept sell product made cat dog fur us consum","trade","wildon moncaster","1"
"2980"," presid obama never made statement want residu forc left iraq","foreign polici iraq islam terror","nertie lortz","1"
"6223","congress right now best job ever done women feder legislatur still percent","women","mufi baskett","1"
"5145"," chang law carri stop million tax increas dalla school district","educ tax","elias goodday","1"
"4418","member congress requir obamacar obama member administr gold plate health care plan theyr","congress govern regul health care","gwendolin dolder","0"
"5551","percent children african american communiti born wedlock","children divers famili marriag pundit sexual","sheeree gell","1"
"2026","percent gain gone top percent","economi poverti","lizzy douglass","0"
"3455","florida send billion dc return billion","feder budget medicaid state budget tax","bianka learie","1"
"4678","presid obamashealth care law govern takeov healthcar","health care market regul","lyndel gilmartin","0"
"3224","atlanta brave oldest continu oper profession sport franchis america","job accomplish","hildegaard galland","1"
"10017"," donald trump want keep big govern charg feder own land","environ","avram latliff","1"
"3843","ten billion dollar taxpay fund bailout flow straight aig coffer foreign corpor foreign bank","economi","willy fordyce","1"
"1208"," texa rank th nation educ fund per pupil","educ","egon bendall","1"
"1099"," feder govern restrict much salt can put food","food safeti","sacha camamile","0"
"5955"," mitt romney invest creat zero job","candid biographi corpor economi job messag machin","ammamaria flippini","0"
"10217","republican parti lost million regist voter sinc democrat parti lost million regist voter voter registr libertarian parti rose percent","bipartisanship elect","archer markwick","0"
"5558","ron oakley conserv leadership protect local taxpay govern bureaucrat thewat manag district budget decreas percent four year serv board","tax water","nichol banat","0"
"5169","presid bush eight year ad trillion debt presid obama weve ad trillion debt year hes offic","debt","christina prop","1"
"10193","past two year florida cut billion tax","tax","caralie franklen","1"
"5187","mosqu near ground zero","religion","winny chilvers","1"
"3385"," nick rahal vote obama percent time","vote record","archer markwick","0"
"8939","obes kill children per hour","children health care public health","sterne molloy","0"
"4232","social secur doesnt contribut penni deficit","deficit feder budget social secur","nickie yeabsley","0"
"6768","bill bring million properti tax relief typic wisconsin homeown  save approxim four year","state budget tax","gustav adamoli","0"
"6078","instead fight isi saudi focus campaign oust iran back houthi rebel yemen","foreign polici terror","gabe ivashkin","1"
"7653","nevada still state percent white voter","divers elect","lothario de giorgi","0"
"6142","long serv first time everi singl solitari decis requir senat","bipartisanship govern effici","deva whitelock","0"
"4627","newt gingrich propon select presid popular vote instead elector colleg","elect","cairistiona camplen","1"
"9024","veto billion spend lawmak cut tax small busi now texa job creation nation five best hous market right texa balanc five state budget cut state spend","economi hous job accomplish state budget","minetta fraanchyonok","0"
"2531"," judg joann kloppenburg agre use technic give convict sex offend new hear didnt understand charg","crimin justic","misti soar","0"
"1375","franklin roosevelt last presid come congress ask permiss engag war","foreign polici legal issu militari","concordia fannin","0"
"2529","first principl allow fellow like get truck go one end state start point wound point ahead elect night","elect","salomo aspel","1"
"1848","toomey cross parti line stop gun sale suspect terror watch list","gun","paul style","0"
"3734"," ron johnson benefit sever super pac","campaign financ elect","paul style","0"
